词典中最大码字：255; 输入码字：91，对应词条：91; 输出词条: 91没有新词条 
词典中最大码字：407; 输入码字：281，对应词条：74-71; 输出词条: 74-71; 新词条：74-7174
词典中最大码字：408; 输入码字：278，对应词条：75-72; 输出词条: 75-72; 新词条：74-7175
词典中最大码字：409; 输入码字：278，对应词条：75-72; 输出词条: 75-72; 新词条：75-7275
词典中最大码字：410; 输入码字：274，对应词条：80-77; 输出词条: 80-77; 新词条：75-7280
词典中最大码字：411; 输入码字：80，对应词条：80; 输出词条: 80; 新词条：80-7780
词典中最大码字：412; 输入码字：78，对应词条：78; 输出词条: 78; 新词条：8078
词典中最大码字：413; 输入码字：412，对应词条：80-78; 输出词条: 80-78; 新词条：7880
词典中最大码字：414; 输入码字：81，对应词条：81; 输出词条: 81; 新词条：80-7881
词典中最大码字：415; 输入码字：268，对应词条：79-86; 输出词条: 79-86; 新词条：8179
词典中最大码字：416; 输入码字：79，对应词条：79; 输出词条: 79; 新词条：79-8679
词典中最大码字：417; 输入码字：265，对应词条：87-84; 输出词条: 87-84; 新词条：7987
词典中最大码字：418; 输入码字：87，对应词条：87; 输出词条: 87; 新词条：87-8487
词典中最大码字：419; 输入码字：85，对应词条：85; 输出词条: 85; 新词条：8785
词典中最大码字：420; 输入码字：263，对应词条：88-85; 输出词条: 88-85; 新词条：8588
词典中最大码字：421; 输入码字：260，对应词条：93-85; 输出词条: 93-85; 新词条：88-8593
词典中最大码字：422; 输入码字：93，对应词条：93; 输出词条: 93; 新词条：93-8593
词典中最大码字：423; 输入码字：259，对应词条：90-93; 输出词条: 90-93; 新词条：9390
词典中最大码字：424; 输入码字：256，对应词条：91-93; 输出词条: 91-93; 新词条：90-9391
词典中最大码字：425; 输入码字：99，对应词条：99; 输出词条: 99; 新词条：91-9399
词典中最大码字：426; 输入码字：256，对应词条：91-93; 输出词条: 91-93; 新词条：9991
词典中最大码字：427; 输入码字：93，对应词条：93; 输出词条: 93; 新词条：91-9393
词典中最大码字：428; 输入码字：423，对应词条：93-90; 输出词条: 93-90; 新词条：9393
词典中最大码字：429; 输入码字：93，对应词条：93; 输出词条: 93; 新词条：93-9093
词典中最大码字：430; 输入码字：88，对应词条：88; 输出词条: 88; 新词条：9388
词典中最大码字：431; 输入码字：262，对应词条：93-85-88; 输出词条: 93-85-88; 新词条：8893
词典中最大码字：432; 输入码字：87，对应词条：87; 输出词条: 87; 新词条：93-85-8887
词典中最大码字：433; 输入码字：418，对应词条：87-84-87; 输出词条: 87-84-87; 新词条：8787
词典中最大码字：434; 输入码字：81，对应词条：81; 输出词条: 81; 新词条：87-84-8781
词典中最大码字：435; 输入码字：269，对应词条：86-79; 输出词条: 86-79; 新词条：8186
词典中最大码字：436; 输入码字：81，对应词条：81; 输出词条: 81; 新词条：86-7981
词典中最大码字：437; 输入码字：80，对应词条：80; 输出词条: 80; 新词条：8180
词典中最大码字：438; 输入码字：412，对应词条：80-78; 输出词条: 80-78; 新词条：8080
词典中最大码字：439; 输入码字：80，对应词条：80; 输出词条: 80; 新词条：80-7880
词典中最大码字：440; 输入码字：79，对应词条：79; 输出词条: 79; 新词条：8079
词典中最大码字：441; 输入码字：276，对应词条：80-72; 输出词条: 80-72; 新词条：7980
词典中最大码字：442; 输入码字：75，对应词条：75; 输出词条: 75; 新词条：80-7275
词典中最大码字：443; 输入码字：443，码表尚未生成, entry = 75; 输出词条: 75; 新词条：7575
词典中最大码字：444; 输入码字：280，对应词条：71-74; 输出词条: 71-74; 新词条：75-7571
词典中最大码字：445; 输入码字：74，对应词条：74; 输出词条: 74; 新词条：71-7474
词典中最大码字：446; 输入码字：74，对应词条：74; 输出词条: 74; 新词条：7474
词典中最大码字：447; 输入码字：404，对应词条：66-69; 输出词条: 66-69; 新词条：7466
词典中最大码字：448; 输入码字：68，对应词条：68; 输出词条: 68; 新词条：66-6968
词典中最大码字：449; 输入码字：287，对应词条：68-65; 输出词条: 68-65; 新词条：6868
词典中最大码字：450; 输入码字：68，对应词条：68; 输出词条: 68; 新词条：68-6568
词典中最大码字：451; 输入码字：67，对应词条：67; 输出词条: 67; 新词条：6867
词典中最大码字：452; 输入码字：67，对应词条：67; 输出词条: 67; 新词条：6767
词典中最大码字：453; 输入码字：60，对应词条：60; 输出词条: 60; 新词条：6760
词典中最大码字：454; 输入码字：63，对应词条：63; 输出词条: 63; 新词条：6063
词典中最大码字：455; 输入码字：62，对应词条：62; 输出词条: 62; 新词条：6362
词典中最大码字：456; 输入码字：293，对应词条：62-59; 输出词条: 62-59; 新词条：6262
词典中最大码字：457; 输入码字：62，对应词条：62; 输出词条: 62; 新词条：62-5962
词典中最大码字：458; 输入码字：61，对应词条：61; 输出词条: 61; 新词条：6261
词典中最大码字：459; 输入码字：296，对应词条：62-54; 输出词条: 62-54; 新词条：6162
词典中最大码字：460; 输入码字：61，对应词条：61; 输出词条: 61; 新词条：62-5461
词典中最大码字：461; 输入码字：56，对应词条：56; 输出词条: 56; 新词条：6156
词典中最大码字：462; 输入码字：300，对应词条：56-53-55; 输出词条: 56-53-55; 新词条：5656
词典中最大码字：463; 输入码字：55，对应词条：55; 输出词条: 55; 新词条：56-53-5555
词典中最大码字：464; 输入码字：390，对应词条：55-47-55; 输出词条: 55-47-55; 新词条：5555
词典中最大码字：465; 输入码字：50，对应词条：50; 输出词条: 50; 新词条：55-47-5550
词典中最大码字：466; 输入码字：308，对应词条：50-46; 输出词条: 50-46; 新词条：5050
词典中最大码字：467; 输入码字：308，对应词条：50-46; 输出词条: 50-46; 新词条：50-4650
词典中最大码字：468; 输入码字：385，对应词条：49-42-49; 输出词条: 49-42-49; 新词条：50-4649
词典中最大码字：469; 输入码字：313，对应词条：41-44; 输出词条: 41-44; 新词条：49-42-4941
词典中最大码字：470; 输入码字：41，对应词条：41; 输出词条: 41; 新词条：41-4441
词典中最大码字：471; 输入码字：43，对应词条：43; 输出词条: 43; 新词条：4143
词典中最大码字：472; 输入码字：315，对应词条：41-41; 输出词条: 41-41; 新词条：4341
词典中最大码字：473; 输入码字：381，对应词条：35-41; 输出词条: 35-41; 新词条：41-4135
词典中最大码字：474; 输入码字：320，对应词条：35-35; 输出词条: 35-35; 新词条：35-4135
词典中最大码字：475; 输入码字：379，对应词条：34-35-34; 输出词条: 34-35-34; 新词条：35-3534
词典中最大码字：476; 输入码字：34，对应词条：34; 输出词条: 34; 新词条：34-35-3434
词典中最大码字：477; 输入码字：29，对应词条：29; 输出词条: 29; 新词条：3429
词典中最大码字：478; 输入码字：477，对应词条：34-29; 输出词条: 34-29; 新词条：2934
词典中最大码字：479; 输入码字：375，对应词条：29-26-29-26; 输出词条: 29-26-29-26; 新词条：34-2929
词典中最大码字：480; 输入码字：372，对应词条：29-21; 输出词条: 29-21; 新词条：29-26-29-2629
词典中最大码字：481; 输入码字：372，对应词条：29-21; 输出词条: 29-21; 新词条：29-2129
词典中最大码字：482; 输入码字：23，对应词条：23; 输出词条: 23; 新词条：29-2123
词典中最大码字：483; 输入码字：21，对应词条：21; 输出词条: 21; 新词条：2321
词典中最大码字：484; 输入码字：23，对应词条：23; 输出词条: 23; 新词条：2123
词典中最大码字：485; 输入码字：336，对应词条：20-21; 输出词条: 20-21; 新词条：2320
词典中最大码字：486; 输入码字：338，对应词条：15-20; 输出词条: 15-20; 新词条：20-2115
词典中最大码字：487; 输入码字：340，对应词条：15-15; 输出词条: 15-15; 新词条：15-2015
词典中最大码字：488; 输入码字：14，对应词条：14; 输出词条: 14; 新词条：15-1514
词典中最大码字：489; 输入码字：15，对应词条：15; 输出词条: 15; 新词条：1415
词典中最大码字：490; 输入码字：14，对应词条：14; 输出词条: 14; 新词条：1514
词典中最大码字：491; 输入码字：346，对应词条：14-6; 输出词条: 14-6; 新词条：1414
词典中最大码字：492; 输入码字：346，对应词条：14-6; 输出词条: 14-6; 新词条：14-614
词典中最大码字：493; 输入码字：348，对应词条：8-6; 输出词条: 8-6; 新词条：14-68
词典中最大码字：494; 输入码字：8，对应词条：8; 输出词条: 8; 新词条：8-68
词典中最大码字：495; 输入码字：350，对应词条：5-8; 输出词条: 5-8; 新词条：85
词典中最大码字：496; 输入码字：0，对应词条：0; 输出词条: 0; 新词条：5-80
词典中最大码字：497; 输入码字：351，对应词条：8-0; 输出词条: 8-0; 新词条：08
词典中最大码字：498; 输入码字：357，对应词条：0-0-0-0-0; 输出词条: 0-0-0-0-0; 新词条：8-00
词典中最大码字：499; 输入码字：357，对应词条：0-0-0-0-0; 输出词条: 0-0-0-0-0; 新词条：0-0-0-0-00
词典中最大码字：500; 输入码字：495，对应词条：8-5; 输出词条: 8-5; 新词条：0-0-0-0-08
词典中最大码字：501; 输入码字：501，码表尚未生成, entry = 8-5; 输出词条: 8-5; 新词条：8-58
词典中最大码字：502; 输入码字：362，对应词条：6-8-6; 输出词条: 6-8-6; 新词条：8-5-86
词典中最大码字：503; 输入码字：491，对应词条：14-14; 输出词条: 14-14; 新词条：6-8-614
词典中最大码字：504; 输入码字：491，对应词条：14-14; 输出词条: 14-14; 新词条：14-1414
词典中最大码字：505; 输入码字：490，对应词条：15-14; 输出词条: 15-14; 新词条：14-1415
词典中最大码字：506; 输入码字：367，对应词条：15-15-20; 输出词条: 15-15-20; 新词条：15-1415
词典中最大码字：507; 输入码字：336，对应词条：20-21; 输出词条: 20-21; 新词条：15-15-2020
词典中最大码字：508; 输入码字：20，对应词条：20; 输出词条: 20; 新词条：20-2120
词典中最大码字：509; 输入码字：483，对应词条：23-21; 输出词条: 23-21; 新词条：2023
词典中最大码字：510; 输入码字：483，对应词条：23-21; 输出词条: 23-21; 新词条：23-2123
词典中最大码字：511; 输入码字：481，对应词条：29-21-29; 输出词条: 29-21-29; 新词条：23-2129
词典中最大码字：512; 输入码字：329，对应词条：26-29-26; 输出词条: 26-29-26; 新词条：29-21-2926
词典中最大码字：513; 输入码字：328，对应词条：29-26; 输出词条: 29-26; 新词条：26-29-2629
词典中最大码字：514; 输入码字：477，对应词条：34-29; 输出词条: 34-29; 新词条：29-2634
词典中最大码字：515; 输入码字：378，对应词条：34-34; 输出词条: 34-34; 新词条：34-2934
词典中最大码字：516; 输入码字：320，对应词条：35-35; 输出词条: 35-35; 新词条：34-3435
词典中最大码字：517; 输入码字：320，对应词条：35-35; 输出词条: 35-35; 新词条：35-3535
词典中最大码字：518; 输入码字：382，对应词条：41-35-41; 输出词条: 41-35-41; 新词条：35-3541
词典中最大码字：519; 输入码字：471，对应词条：41-43; 输出词条: 41-43; 新词条：41-35-4141
词典中最大码字：520; 输入码字：470，对应词条：41-44-41; 输出词条: 41-44-41; 新词条：41-4341
词典中最大码字：521; 输入码字：385，对应词条：49-42-49; 输出词条: 49-42-49; 新词条：41-44-4149
词典中最大码字：522; 输入码字：307，对应词条：46-50; 输出词条: 46-50; 新词条：49-42-4946
词典中最大码字：523; 输入码字：49，对应词条：49; 输出词条: 49; 新词条：46-5049
词典中最大码字：524; 输入码字：305，对应词条：50-47; 输出词条: 50-47; 新词条：4950
词典中最大码字：525; 输入码字：55，对应词条：55; 输出词条: 55; 新词条：50-4755
词典中最大码字：526; 输入码字：50，对应词条：50; 输出词条: 50; 新词条：5550
词典中最大码字：527; 输入码字：391，对应词条：55-53-55; 输出词条: 55-53-55; 新词条：5055
词典中最大码字：528; 输入码字：55，对应词条：55; 输出词条: 55; 新词条：55-53-5555
词典中最大码字：529; 输入码字：393，对应词条：56-53-61; 输出词条: 56-53-61; 新词条：5556
词典中最大码字：530; 输入码字：56，对应词条：56; 输出词条: 56; 新词条：56-53-6156
词典中最大码字：531; 输入码字：396，对应词条：62-58; 输出词条: 62-58; 新词条：5662
词典中最大码字：532; 输入码字：456，对应词条：62-62; 输出词条: 62-62; 新词条：62-5862
词典中最大码字：533; 输入码字：293，对应词条：62-59; 输出词条: 62-59; 新词条：62-6262
词典中最大码字：534; 输入码字：63，对应词条：63; 输出词条: 63; 新词条：62-5963
词典中最大码字：535; 输入码字：63，对应词条：63; 输出词条: 63; 新词条：6363
词典中最大码字：536; 输入码字：401，对应词条：67-65; 输出词条: 67-65; 新词条：6367
词典中最大码字：537; 输入码字：449，对应词条：68-68; 输出词条: 68-68; 新词条：67-6568
词典中最大码字：538; 输入码字：284，对应词条：68-66; 输出词条: 68-66; 新词条：68-6868
词典中最大码字：539; 输入码字：69，对应词条：69; 输出词条: 69; 新词条：68-6669
词典中最大码字：540; 输入码字：68，对应词条：68; 输出词条: 68; 新词条：6968
词典中最大码字：541; 输入码字：407，对应词条：74-71-74; 输出词条: 74-71-74; 新词条：6874
词典中最大码字：542; 输入码字：74，对应词条：74; 输出词条: 74; 新词条：74-71-7474
词典中最大码字：543; 输入码字：409，对应词条：75-72-75; 输出词条: 75-72-75; 新词条：7475
词典中最大码字：544; 输入码字：75，对应词条：75; 输出词条: 75; 新词条：75-72-7575
词典中最大码字：545; 输入码字：276，对应词条：80-72; 输出词条: 80-72; 新词条：7580
词典中最大码字：546; 输入码字：438，对应词条：80-80; 输出词条: 80-80; 新词条：80-7280
词典中最大码字：547; 输入码字：414，对应词条：80-78-81; 输出词条: 80-78-81; 新词条：80-8080
词典中最大码字：548; 输入码字：435，对应词条：81-86; 输出词条: 81-86; 新词条：80-78-8181
词典中最大码字：549; 输入码字：417，对应词条：79-87; 输出词条: 79-87; 新词条：81-8679
词典中最大码字：550; 输入码字：433，对应词条：87-87; 输出词条: 87-87; 新词条：79-8787
词典中最大码字：551; 输入码字：420，对应词条：85-88; 输出词条: 85-88; 新词条：87-8785
词典中最大码字：552; 输入码字：87，对应词条：87; 输出词条: 87; 新词条：85-8887
词典中最大码字：553; 输入码字：422，对应词条：93-85-93; 输出词条: 93-85-93; 新词条：8793
词典中最大码字：554; 输入码字：428，对应词条：93-93; 输出词条: 93-93; 新词条：93-85-9393
词典中最大码字：555; 输入码字：427，对应词条：91-93-93; 输出词条: 91-93-93; 新词条：93-9391
词典中最大码字：556; 输入码字：91，对应词条：91; 输出词条: 91; 新词条：91-93-9391
词典中最大码字：557; 输入码字：426，对应词条：99-91; 输出词条: 99-91; 新词条：9199
词典中最大码字：558; 输入码字：99，对应词条：99; 输出词条: 99; 新词条：99-9199
词典中最大码字：559; 输入码字：93，对应词条：93; 输出词条: 93; 新词条：9993
词典中最大码字：560; 输入码字：99，对应词条：99; 输出词条: 99; 新词条：9399
